--- 劇集總表 (共 6803 部) ---
名稱: (陸劇)(1990) 破爛王 | 代碼: 2020465
名稱: (陸劇)(1990) 中國神火 | 代碼: 2042486
名稱: (陸劇)(1990) 渴望 | 代碼: 2046267
名稱: (陸劇)(1990) 楊乃武與小白菜 | 代碼: 204976
名稱: (陸劇)(1990) 多情劍客 | 代碼: 205122
名稱: (陸劇)(1990) 封神榜 | 代碼: 2056525
名稱: (陸劇)(1990) 十六歲的花季 | 代碼: 2057141
名稱: (陸劇)(1990) 夜深沉 | 代碼: 2062644
名稱: (陸劇)(1990) 亂世香港 | 代碼: 2064767
名稱: (陸劇)(1990) 南岳龍蛇 | 代碼: 2069927
名稱: (陸劇)(1990) 圍城 | 代碼: 2079950
名稱: (陸劇)(1990) 濟公活佛 | 代碼: 2080030
名稱: (陸劇)(1990) 多夢女孩 | 代碼: 2090428
名稱: (陸劇)(1991) 上海一家人 | 代碼: 2110102
名稱: (陸劇)(1991) 轆轤·女人和井 | 代碼: 2111618
名稱: (陸劇)(1991) 外來妹 | 代碼: 2114433
名稱: (陸劇)(1991) 七劍十三俠 | 代碼: 2120887
名稱: (陸劇)(1991) 廣寒寶鏡 | 代碼: 2124707
名稱: (陸劇)(1991) 鐵血共和 | 代碼: 2134937
名稱: (陸劇)(1991) 雍正皇帝 | 代碼: 2136943
名稱: (陸劇)(1991) 趙尚志 | 代碼: 2140536
名稱: (陸劇)(1991) 金童玉女 | 代碼: 2144544
名稱: (陸劇)(1991) 西游記外傳 | 代碼: 214475
名稱: (陸劇)(1991) 三俠五義 | 代碼: 2154686
名稱: (陸劇)(1991) 雪山飛狐 | 代碼: 2158530
名稱: (陸劇)(1991) 午子風雲 | 代碼: 2159736
名稱: (陸劇)(1991) 鄭板橋 | 代碼: 2170179
名稱: (陸劇)(1991) 荒原城堡731 | 代碼: 2172357
名稱: (陸劇)(1991) 孔子 | 代碼: 2190692
名稱: (陸劇)(1991) 七星鎮二妖 | 代碼: 2193147
名稱: (陸劇)(1991) 游本木探案 | 代碼: 2195097
名稱: (陸劇)(1992) 傻兒師長 | 代碼: 2211927
名稱: (陸劇)(1992) 吳敬梓 | 代碼: 2218470
名稱: (陸劇)(1992) 76號魔窟 | 代碼: 2218542
名稱: (陸劇)(1992) 楊家將 | 代碼: 2219215
名稱: (陸劇)(1992) 金玉奇緣 | 代碼: 2233129
名稱: (陸劇)(1992) 寒星 | 代碼: 2237461
名稱: (陸劇)(1992) 年輪 | 代碼: 2243253
名稱: (陸劇)(1992) 金三角皇後 | 代碼: 2243710
名稱: (陸劇)(1992) 編輯部的故事 | 代碼: 2256172
名稱: (陸劇)(1992) 風波亭軼事 | 代碼: 2264869
名稱: (陸劇)(1992) 女人不是月亮 | 代碼: 2264971
名稱: (陸劇)(1992) 愛在雨季 | 代碼: 2271764
名稱: (陸劇)(1992) 風雨麗人 | 代碼: 2273790
名稱: (陸劇)(1992) 吳晗 | 代碼: 2284686
名稱: (陸劇)(1992) 小龍人 | 代碼: 2287503
名稱: (陸劇)(1992) 山花爛漫時 | 代碼: 2298012
名稱: (陸劇)(1992) 北洋水師 | 代碼: 2299092
名稱: (陸劇)(1993) 古船·女人和網 | 代碼: 2300615
名稱: (陸劇)(1993) 海馬歌舞廳 | 代碼: 2320266
名稱: (陸劇)(1993) 楊三姐告狀 | 代碼: 232083
名稱: (陸劇)(1993) 海外遺恨 | 代碼: 2322018
名稱: (陸劇)(1993) 甲申祭 | 代碼: 2330098
名稱: (陸劇)(1993) 我愛我家 | 代碼: 233170
名稱: (陸劇)(1993) 瀟瀟石窟情 | 代碼: 2331798
名稱: (陸劇)(1993) 紅蜻蜓 | 代碼: 2341840
名稱: (陸劇)(1993) 追殺大總統 | 代碼: 2346204
名稱: (陸劇)(1993) 山不轉水轉 | 代碼: 2352097
名稱: (陸劇)(1993) 唐明皇 | 代碼: 2356166
名稱: (陸劇)(1993) 俄羅斯姑娘在哈爾濱 | 代碼: 2358474
名稱: (陸劇)(1993) 出路 | 代碼: 2381891
名稱: (陸劇)(1993) 三言二拍 | 代碼: 2384649
名稱: (陸劇)(1993) 少奇同志在安源 | 代碼: 2384669
名稱: (陸劇)(1993) 北京人在紐約 | 代碼: 2391424
名稱: (陸劇)(1993) 鬼城血戰 | 代碼: 2395054
名稱: (陸劇)(1993) 張天師傳奇 | 代碼: 2395057
名稱: (陸劇)(1993) 太陽淚 | 代碼: 2395876
名稱: (陸劇)(1994) 孽債 | 代碼: 2410706
名稱: (陸劇)(1994) 傻兒軍長 | 代碼: 2411928
名稱: (陸劇)(1994) 三國演義 | 代碼: 2432310
名稱: (陸劇)(1994) 聊齋喜劇系列 | 代碼: 2436376
名稱: (陸劇)(1994) 算聖 | 代碼: 2442068
名稱: (陸劇)(1994) 布爾什維克兄弟 | 代碼: 245072
名稱: (陸劇)(1994) 白玉霜 | 代碼: 2457473
名稱: (陸劇)(1994) 飛來橫福 | 代碼: 2458476
名稱: (陸劇)(1994) 大帥傳奇 | 代碼: 2465894
名稱: (陸劇)(1994) 過把癮 | 代碼: 2465998
名稱: (陸劇)(1994) 三蒸骨 | 代碼: 2466228
名稱: (陸劇)(1994) 千里難尋 | 代碼: 2488433
名稱: (陸劇)(1994) 情滿珠江 | 代碼: 2492706
名稱: (陸劇)(1994) 天橋夢 | 代碼: 2495001
名稱: (陸劇)(1994) 臨時家庭 | 代碼: 2496042
名稱: (陸劇)(1995) 霜葉紅似二月花 | 代碼: 2500697
名稱: (陸劇)(1995) 武則天 | 代碼: 2510715
名稱: (陸劇)(1995) 蒼天在上 | 代碼: 2511123
名稱: (陸劇)(1995) 情殤 | 代碼: 2521338
名稱: (陸劇)(1995) 沒有國籍的女人 | 代碼: 2525475
名稱: (陸劇)(1995) 血色童心 | 代碼: 2526109
名稱: (陸劇)(1995) 怪王外傳 | 代碼: 2528349
名稱: (陸劇)(1995) 一地雞毛 | 代碼: 2532373
名稱: (陸劇)(1995) 三喜臨門 | 代碼: 253243
名稱: (陸劇)(1995) 與百萬富翁同行 | 代碼: 2533660
名稱: (陸劇)(1995) 五男二女 | 代碼: 2534739
名稱: (陸劇)(1995) 一馬走江湖 | 代碼: 2535628
